id,artist,name,popularity
44pxxRrhiDGuHYP5HjadGF,Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),56
0FkcmHJOsWE80rlpzfT0Pq,Marilyn Manson,God's Gonna Cut You Down,71
4TIa51S5pZ7U9UdqHWqvsx,AWOLNATION,The Best,63
2YUTrl4xlX9jAlpxWEpOnU,Mondo Cozmo,Come On,58
2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,16,64
2eZjO58Qe9og2xmyfw4qwJ,Bring Me The Horizon,Ludens,77
5OJXavcivnEb2cAXJEWc33,Des Rocs,Give Me the Night,10
4o48EHVTIDb3PS0EIQ5l7A,Zero 9:36,Come Thru,6
1VPoFXYjoganemxvLPhhKd,blink-182,I Really Wish I Hated You,55
6AYD3ztnzQhAJQ3SOWwqtP,YUNGBLUD,hope for the underrated youth,62
5iN7u2S31T8Mu5LC5JaCxO,grandson,Oh No!!!,43
0C5X8RJXZNuGO2CfQJumb5,Asking Alexandria,The Violence,69
6nMNpGl4VvMhtYigbbOmBu,Sleeping With Sirens,Leave It All Behind,65
2093eVNfimjmNjU1gk1ES7,Slipknot,Unsainted,49
2GFwwTIVLjnOrtP7m9luHC,I Prevail,Hurricane,70
4I0tFcRHjW3AkN1Jg1veOM,Mike Shinoda,fine,64
57F0OIqDnhEIPBI6SHqHJI,Yelawolf,Opie Taylor,64
0UB9FchcGKnQ7GCDl9dJjF,Inhaler,My Honest Face,61
6bWBLZLBRQEJ5KsLicouNB,Machine Gun Kelly,I Think I'm OKAY (with YUNGBLUD & Travis Barker),46
1pf8bjnKw5SgtfSvINI0Kt,The Glorious Sons,Closer To The Sky,49
2hJIp64P8hh2VLtvxuIT3Z,White Reaper,Might Be Right,60
4r59yc67nric1MZQ2igkhx,Green Day,Father of All...,59
4zB544yCIaSw3cuHltMCRJ,Weezer,The End of the Game,65
5ngkxE4PtED8B5OOYnkeyu,Zero 9:36,Leave The Light On,57
3VZjogSj2XePaVubGgFOUo,Dirty Honey,When I'm Gone,18
3XWptIVUohAaiBSSWzScKB,Jimmy Eat World,Love Never,54
2ExTlf6wuN0WPFzPSh3V3d,DREAMERS,Desensitize,57
7bDztTav6TQByZmDJmUT5Y,Foals,Like Lightning,67
4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,original me (feat. dan reynolds of imagine dragons),76
3PwERhY34Og6uqCy3oABtq,New Politics,Unstoppable,56
0NflwidhwbOHB9tBesSQrx,Palaye Royale,"Massacre, The New American Dream",40
57yI1u6t6cFXbjgjQcRHug,A Day To Remember,Resentment,30
5KkdV1Iq79PMNjHyznVOMW,Demob Happy,Autoportrait,51
0kP4jYOuH9le6avYm2JnvZ,Left Boy,Sex Party,61
5CxHzMIN3ZOH8f18RdNYwO,STARSET,MANIFEST,45
5Q2gtn5mYtdlqu76kp20sR,Sturgill Simpson,Sing Along,42
0ZfEeIu7CNHQhbCTiVv3cx,Catfish and the Bottlemen,2all,65
1KuVdyg8d6NlRhbpHxg5UF,Cage The Elephant,Social Cues,71
6lvaLDCPjbxhC8EmNVHfIO,Arrested Youth,Dig,55
4rhUBIlzi7zgV7TryhVujl,Greta Van Fleet,Edge Of Darkness,64
0Aergaee1PD3zbWcjxcUJl,The Blue Stones,Shakin' Off The Rust,58
7GPTK0ueaymxm8UUvYyP2l,Whiskey Myers,Gasoline,55
78n9Kl5xJjWfUPEYUAhhG1,Frank Carter & The Rattlesnakes,Crowbar,58
6XZ8SzOsrIPce5JdgMeJFF,YONAKA,Rockstar,58
0Jxl1PdSbiQPYRPVdzBdES,Gary Clark Jr.,This Land,52
6hZ11ThYoAHlLJsBK2U3jH,Dinosaur Pile-Up,Back Foot,57
6Mf8ozEDo35UcgKgKajrBY,Papa Roach,Come Around,64
28KccB3Iw5Gg8MjKewEQFW,Badflower,The Jester,61
3TTMUI5dFcbeNSDTTDY9M8,Summer Walker,Come Thru (with Usher),83
0Odu228D0yGcFySGuxU4rY,Tory Lanez,The Take (feat. Chris Brown),75
6tq6PWrJ8y8icAv1x45YXT,Jacquees,"Verify (feat. Young Thug, Gunna)",72
4nw0S8MtvcLSpXCS9M8ciL,Dreamville,Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy),74
1GIYmwtBbPSHrqcSaukZck,Chris Brown,Heat (feat. Gunna),78
1nal3Tf1OCV53KigMZXsZ7,Jhené Aiko,None Of Your Concern,75
4eFvubnLRBu8vMPZqu5eC9,Alicia Keys,Show Me Love (feat. 21 Savage & Miguel),73
1opARDDYaOeE1QUdwXmBGu,Majid Jordan,Caught Up (feat. Khalid),77
4otQJBpb8okSeykALR3eCH,Summer Walker,Something Real (with London On Da Track & Chris Brown),28
2rTnVB1bvwxHtaIl4uVu7f,H.E.R.,Slide,80
1WMn91p7f5XC7nOeddClml,Pink Sweat$,Honesty - Remix,64
5bvnqVuq7UFl0txSlHpsfS,PARTYNEXTDOOR,Loyal (feat. Drake),0
05TFja7Cz5s1xD5HMAnIEx,Luke James,go girl,62
1sQBPGypjSgEgJZvD8u8ty,Lucky Daye,Roll Some Mo,68
1mEO3xiJqEWXYIdZalDzHR,Tiana Major9,"Collide - From ""Queen & Slim: The Soundtrack""",66
